Year,Rank,University Name, Score,Link,Country,City,Logo
2017, 299, boston college, 37 ,https://www.topuniversities.com/universities/boston-college, United States, United States, North America
2017, 89, boston university, 65 ,https://www.topuniversities.com/universities/boston-university, United States, United States, North America
2017, 49, brown university, 78 ,https://www.topuniversities.com/universities/brown-university, United States, United States, North America
2017, 345, brunel university london, 34 ,https://www.topuniversities.com/universities/brunel-university-london, United Kingdom, United Kingdom, Europe
2017, 5, california institute of technology (caltech), 97 ,https://www.topuniversities.com/universities/california-institute-technology-caltech, United States, United States, North America
2017, 140, cardiff university, 56 ,https://www.topuniversities.com/universities/cardiff-university, United Kingdom, United Kingdom, Europe
2017, 58, carnegie mellon university, 74 ,https://www.topuniversities.com/universities/carnegie-mellon-university, United States, United States, North America
2017, 202, case western reserve university, 46 ,https://www.topuniversities.com/universities/case-western-reserve-university, United States, United States, North America
2017, 164, centralesupélec, 52 ,https://www.topuniversities.com/universities/centralesupelec, France, France, Europe
2017, 139, chalmers university of technology, 56 ,https://www.topuniversities.com/universities/chalmers-university-technology, Sweden, Sweden, Europe
2017, 302, charles university, 37 ,https://www.topuniversities.com/universities/charles-university, Czech Republic, Czech Republic, Europe
2017, 252, chulalongkorn university, 41 ,https://www.topuniversities.com/universities/chulalongkorn-university, Thailand, Thailand, Asia
2017, 386, chung-ang university (cau), 31 ,https://www.topuniversities.com/universities/chung-ang-university-cau, South Korea, South Korea, Asia
2017, 55, city university of hong kong, 75 ,https://www.topuniversities.com/universities/city-university-hong-kong, Hong Kong SAR, Hong Kong SAR, Asia
2017, 314, city|| university of london, 36 ,https://www.topuniversities.com/universities/city-university-london, United Kingdom, United Kingdom, Europe
2017, 386, colorado state university, 31 ,https://www.topuniversities.com/universities/colorado-state-university, United States, United States, North America
2017, 20, columbia university, 89 ,https://www.topuniversities.com/universities/columbia-university, United States, United States, North America
2017, 239, complutense university of madrid, 42 ,https://www.topuniversities.com/universities/complutense-university-madrid, Spain, Spain, Europe
2017, 16, cornell university, 90 ,https://www.topuniversities.com/universities/cornell-university, United States, United States, North America
2017, 306, curtin university, 36 ,https://www.topuniversities.com/universities/curtin-university, Australia, Australia, Oceania
2017, 283, dalhousie university, 38 ,https://www.topuniversities.com/universities/dalhousie-university, Canada, Canada, North America
2017, 158, dartmouth college, 53 ,https://www.topuniversities.com/universities/dartmouth-college, United States, United States, North America
2017, 355, deakin university, 33 ,https://www.topuniversities.com/universities/deakin-university, Australia, Australia, Oceania
2017, 62, delft university of technology, 72 ,https://www.topuniversities.com/universities/delft-university-technology, Netherlands, Netherlands, Europe
2017, 380, dublin city university, 31 ,https://www.topuniversities.com/universities/dublin-city-university, Ireland, Ireland, Europe
2017, 24, duke university, 86 ,https://www.topuniversities.com/universities/duke-university, United States, United States, North America
2017, 74, durham university, 69 ,https://www.topuniversities.com/universities/durham-university, United Kingdom, United Kingdom, Europe
2017, 167, eberhard karls universität tübingen, 52 ,https://www.topuniversities.com/universities/eberhard-karls-universitat-tubingen, Germany, Germany, Europe
2017, 268, ecole des ponts paristech, 39 ,https://www.topuniversities.com/universities/ecole-des-ponts-paristech, France, France, Europe
2017, 33, ecole normale supérieure|| paris, 83 ,https://www.topuniversities.com/universities/ecole-normale-superieure-paris, France, France, Europe
2017, 53, ecole polytechnique, 76 ,https://www.topuniversities.com/universities/ecole-polytechnique, France, France, Europe
2017, 121, eindhoven university of technology, 59 ,https://www.topuniversities.com/universities/eindhoven-university-technology, Netherlands, Netherlands, Europe
2017, 149, emory university, 54 ,https://www.topuniversities.com/universities/emory-university, United States, United States, North America
2017, 264, ens paris-saclay, 39 ,https://www.topuniversities.com/universities/ens-paris-saclay, France, France, Europe
2017, 14, epfl, 91 ,https://www.topuniversities.com/universities/epfl, Switzerland, Switzerland, Europe
2017, 144, erasmus university rotterdam , 56 ,https://www.topuniversities.com/universities/erasmus-university-rotterdam, Netherlands, Netherlands, Europe
2017, 330, essex|| university of, 35 ,https://www.topuniversities.com/universities/essex-university, United Kingdom, United Kingdom, Europe
2017, 8, eth zurich - swiss federal institute of technology, 94 ,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology, Switzerland, Switzerland, Europe
2017, 335, ewha womans university, 35 ,https://www.topuniversities.com/universities/ewha-womans-university, South Korea, South Korea, Asia
2017, 123, freie universitaet berlin, 59 ,https://www.topuniversities.com/universities/freie-universitaet-berlin, Germany, Germany, Europe
2017, 272, friedrich-alexander-universität erlangen-nürnberg, 39 ,https://www.topuniversities.com/universities/friedrich-alexander-universitat-erlangen-nurnberg, Germany, Germany, Europe
2017, 43, fudan university, 79 ,https://www.topuniversities.com/universities/fudan-university, China (Mainland), China (Mainland), Asia
2017, 363, george washington university, 32 ,https://www.topuniversities.com/universities/george-washington-university, United States, United States, North America
2017, 214, georgetown university, 45 ,https://www.topuniversities.com/universities/georgetown-university, United States, United States, North America
2017, 71, georgia institute of technology, 70 ,https://www.topuniversities.com/universities/georgia-institute-technology, United States, United States, North America
2017, 131, ghent university, 58 ,https://www.topuniversities.com/universities/ghent-university, Belgium, Belgium, Europe
2017, 264, goethe-university frankfurt am main, 39 ,https://www.topuniversities.com/universities/goethe-university-frankfurt-am-main, Germany, Germany, Europe
2017, 336, griffith university, 34 ,https://www.topuniversities.com/universities/griffith-university, Australia, Australia, Oceania
2017, 337, gwangju institute of science and technology (gist), 34 ,https://www.topuniversities.com/universities/gwangju-institute-science-technology-gist, South Korea, South Korea, Asia
2017, 171, hanyang university, 51 ,https://www.topuniversities.com/universities/hanyang-university, South Korea, South Korea, Asia
2017, 278, harbin institute of technology, 38 ,https://www.topuniversities.com/universities/harbin-institute-technology, China (Mainland), China (Mainland), Asia
2017, 3, harvard university, 98 ,https://www.topuniversities.com/universities/harvard-university, United States, United States, North America
2017, 327, heriot-watt university, 35 ,https://www.topuniversities.com/universities/heriot-watt-university, United Kingdom, United Kingdom, Europe
2017, 297, hiroshima university, 37 ,https://www.topuniversities.com/universities/hiroshima-university, Japan, Japan, Asia
2017, 130, hokkaido university, 58 ,https://www.topuniversities.com/universities/hokkaido-university, Japan, Japan, Asia
2017, 278, hong kong baptist university, 38 ,https://www.topuniversities.com/universities/hong-kong-baptist-university, Hong Kong SAR, Hong Kong SAR, Asia
2017, 121, humboldt-universität zu berlin, 59 ,https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin, Germany, Germany, Europe
2017, 9, imperial college london, 94 ,https://www.topuniversities.com/universities/imperial-college-london, United Kingdom, United Kingdom, Europe
2017, 152, indian institute of science, 54 ,https://www.topuniversities.com/universities/indian-institute-science, India, India, Asia
2017, 219, indian institute of technology bombay (iitb), 45 ,https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb, India, India, Asia
2017, 185, indian institute of technology delhi (iitd), 49 ,https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd, India, India, Asia
2017, 302, indian institute of technology kanpur (iitk), 37 ,https://www.topuniversities.com/universities/indian-institute-technology-kanpur-iitk, India, India, Asia
2017, 313, indian institute of technology kharagpur (iit-kgp), 36 ,https://www.topuniversities.com/universities/indian-institute-technology-kharagpur-iit-kgp, India, India, Asia
2017, 249, indian institute of technology madras (iitm), 41 ,https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm, India, India, Asia
2017, 399, indian institute of technology roorkee (iitr), 30 ,https://www.topuniversities.com/universities/indian-institute-technology-roorkee-iitr, India, India, Asia
2017, 291, indiana university bloomington, 37 ,https://www.topuniversities.com/universities/indiana-university-bloomington, United States, United States, North America
2017, 340, james cook university, 34 ,https://www.topuniversities.com/universities/james-cook-university, Australia, Australia, Oceania
2017, 17, johns hopkins university, 89 ,https://www.topuniversities.com/universities/johns-hopkins-university, United States, United States, North America
2017, 46, kaist - korea advanced institute of science & technology, 78 ,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology, South Korea, South Korea, Asia
2017, 216, keio university, 45 ,https://www.topuniversities.com/universities/keio-university, Japan, Japan, Asia
2017, 283, king abdulaziz university (kau), 38 ,https://www.topuniversities.com/universities/king-abdulaziz-university-kau, Saudi Arabia, Saudi Arabia, Asia
2017, 189, king fahd university of petroleum & minerals, 48 ,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals, Saudi Arabia, Saudi Arabia, Asia
2017, 227, king saud university, 43 ,https://www.topuniversities.com/universities/king-saud-university, Saudi Arabia, Saudi Arabia, Asia
2017, 21, king's college london, 88 ,https://www.topuniversities.com/universities/kings-college-london, United Kingdom, United Kingdom, Europe
2017, 98, kit|| karlsruhe institute of technology, 63 ,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology, Germany, Germany, Europe
2017, 369, kobe university, 32 ,https://www.topuniversities.com/universities/kobe-university, Japan, Japan, Asia
2017, 98, korea university, 63 ,https://www.topuniversities.com/universities/korea-university, South Korea, South Korea, Asia
2017, 97, kth royal institute of technology , 63 ,https://www.topuniversities.com/universities/kth-royal-institute-technology, Sweden, Sweden, Europe
2017, 79, ku leuven, 68 ,https://www.topuniversities.com/universities/ku-leuven, Belgium, Belgium, Europe
2017, 37, kyoto university, 82 ,https://www.topuniversities.com/universities/kyoto-university, Japan, Japan, Asia
2017, 264, kyung hee university, 39 ,https://www.topuniversities.com/universities/kyung-hee-university, South Korea, South Korea, Asia
2017, 135, kyushu university, 57 ,https://www.topuniversities.com/universities/kyushu-university, Japan, Japan, Asia
2017, 345, l.n. gumilyov eurasian national university (enu), 34 ,https://www.topuniversities.com/universities/ln-gumilyov-eurasian-national-university-enu, Kazakhstan, Kazakhstan, Asia
2017, 386, la trobe university, 31 ,https://www.topuniversities.com/universities/la-trobe-university, Australia, Australia, Oceania
2017, 129, lancaster university, 58 ,https://www.topuniversities.com/universities/lancaster-university, United Kingdom, United Kingdom, Europe
